seed	injection_rate	fault_type	fdr
456	1.00	context_overflow	1.000
789	1.00	context_overflow	1.000
1024	1.00	context_overflow	1.000
42	1.00	cost_explosion	1.000
123	1.00	cost_explosion	1.000
456	1.00	cost_explosion	1.000
789	1.00	cost_explosion	1.000
1024	1.00	cost_explosion	1.000
42	1.00	circular_delegation	1.000
123	1.00	circular_delegation	1.000
456	1.00	circular_delegation	1.000
789	1.00	circular_delegation	1.000
1024	1.00	circular_delegation	1.000
42	1.00	tool_failure	1.000
123	1.00	tool_failure	1.000
456	1.00	tool_failure	1.000
789	1.00	tool_failure	1.000
1024	1.00	tool_failure	1.000
42	1.00	timeout	1.000
123	1.00	timeout	1.000
456	1.00	timeout	1.000
789	1.00	timeout	1.000
1024	1.00	timeout	1.000
42	1.00	stale_retrieval	1.000
123	1.00	stale_retrieval	1.000
456	1.00	stale_retrieval	1.000
789	1.00	stale_retrieval	1.000
1024	1.00	stale_retrieval	1.000
42	1.00	guardrail_bypass	1.000
123	1.00	guardrail_bypass	1.000
456	1.00	guardrail_bypass	1.000
789	1.00	guardrail_bypass	1.000
1024	1.00	guardrail_bypass	1.000
42	1.00	planning_failure	1.000
123	1.00	planning_failure	1.000
456	1.00	planning_failure	1.000
789	1.00	planning_failure	1.000
1024	1.00	planning_failure	1.000
42	1.00	reasoning_loop	1.000
123	1.00	reasoning_loop	1.000
456	1.00	reasoning_loop	1.000
789	1.00	reasoning_loop	1.000
1024	1.00	reasoning_loop	1.000
42	1.00	agent_misroute	1.000
123	1.00	agent_misroute	1.000
456	1.00	agent_misroute	1.000
789	1.00	agent_misroute	1.000
1024	1.00	agent_misroute	1.000
42	1.00	memory_corruption	1.000
123	1.00	memory_corruption	1.000
456	1.00	memory_corruption	1.000
789	1.00	memory_corruption	1.000
1024	1.00	memory_corruption	1.000
